City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,291.37,91,100,3.91,ZA,1682286221
1,hilo,19.7297,-155.09,303.31,70,75,4.63,US,1682286223
2,tuktoyaktuk,69.4541,-133.0374,254.15,78,20,3.09,CA,1682286224
3,neuquen,-38.9516,-68.0591,299.09,36,0,2.57,AR,1682285963
4,kruisfontein,-34.0033,24.7314,292.53,71,100,1.67,ZA,1682285969
5,ambilobe,-13.2,49.05,296.14,96,4,1.26,MG,1682286227
6,vaini,-21.2,-175.2,300.24,74,75,5.66,TO,1682286228
7,bredasdorp,-34.5322,20.0403,291.27,82,100,2.82,ZA,1682286218
8,gat,31.61,34.7642,291.7,100,86,2.05,IL,1682286230
9,ushuaia,-54.8,-68.3,279.96,57,20,2.06,AR,1682286203
10,kaitangata,-46.2817,169.8464,283.67,63,58,6.61,NZ,1682286232
11,flinders,-34.5833,150.8552,289.29,93,100,0.89,AU,1682286233
12,taoudenni,22.6783,-3.9836,303.89,9,0,2.32,ML,1682286232
13,hobart,-42.8794,147.3294,280.96,84,0,3.6,AU,1682286009
14,udachnyy,66.4167,112.4,261.12,98,100,0.74,RU,1682286236
15,severo-kurilsk,50.6789,156.125,273.24,89,88,6.99,RU,1682286228
16,miles city,46.4083,-105.8406,283.69,34,0,2.06,US,1682286239
17,rae bareli,26.2167,81.2333,300.51,23,100,1.02,IN,1682286240
18,mataura,-46.1927,168.8643,284.53,90,98,4.31,NZ,1682286218
19,jamestown,42.097,-79.2353,279.92,66,100,3.6,US,1682286222
20,dikson,73.5069,80.5464,274.08,86,99,8.41,RU,1682286243
21,carnarvon,-24.8667,113.6333,295.33,74,100,5.58,AU,1682286244
22,hithadhoo,-0.6,73.0833,301.54,76,97,2.38,MV,1682286246
23,kapaa,22.0752,-159.319,300.14,77,100,2.06,US,1682285953
24,rikitea,-23.1203,-134.9692,299.34,87,100,6.62,PF,1682286216
25,port elizabeth,-33.918,25.5701,293.76,82,0,1.03,ZA,1682286213
26,chuy,-33.6971,-53.4616,291.54,88,100,3.63,UY,1682285957
27,barrow,71.2906,-156.7887,258.16,78,75,4.63,US,1682286252
28,cape town,-33.9258,18.4232,291.69,92,75,7.2,ZA,1682286152
29,cayenne,4.9333,-52.3333,298.17,94,0,1.54,GF,1682286204
30,avarua,-21.2078,-159.775,299.18,65,33,5.14,CK,1682286220
31,comodoro rivadavia,-45.8667,-67.5,292.07,34,0,1.54,AR,1682286258
32,bluff,-46.6,168.3333,284.71,66,56,11.51,NZ,1682286214
33,geraldton,-28.7667,114.6,293.38,64,95,5.66,AU,1682286260
34,lima,-12.0432,-77.0282,297.29,73,40,7.72,PE,1682286261
35,busselton,-33.65,115.3333,286.8,73,100,6.03,AU,1682286211
36,peniche,39.3558,-9.3811,289.42,91,37,3.57,PT,1682285966
37,punta arenas,-53.15,-70.9167,282.21,61,0,2.06,CL,1682286059
38,kankon,15.0167,74.0167,297.05,83,3,3.33,IN,1682286266
39,castro,-24.7911,-50.0119,286.72,79,0,1.66,BR,1682286267
40,eggenfelden,48.4054,12.7626,285.27,93,98,3.06,DE,1682286268
41,bethel,41.3712,-73.414,289.83,72,75,4.63,US,1682285978
42,zheleznodorozhnyy,55.7503,38.0042,284.46,54,19,0.81,RU,1682286270
43,sangmelima,2.9333,11.9833,294.31,86,67,0.81,CM,1682286271
44,ribeira grande,38.5167,-28.7,290.25,94,100,2.68,PT,1682286221
45,kodiak,57.79,-152.4072,276.88,38,0,7.2,US,1682286274
46,norman wells,65.282,-126.8329,262.17,67,100,6.69,CA,1682286275
47,fortuna,40.5982,-124.1573,286.85,84,100,1.34,US,1682286256
48,yellowknife,62.456,-114.3525,283.44,37,20,3.09,CA,1682286216
49,luderitz,-26.6481,15.1594,292.05,48,100,1.83,,1682286243
50,upernavik,72.7868,-56.1549,273.24,98,100,3.99,GL,1682286244
51,chokurdakh,70.6333,147.9167,267.57,95,100,3.56,RU,1682286246
52,talnakh,69.4865,88.3972,272.71,91,95,3.48,RU,1682286254
53,bambous virieux,-20.3428,57.7575,298.29,83,40,1.54,MU,1682286272
54,guane,22.2025,-84.0875,304.13,39,0,1.2,CU,1682286283
55,saskylakh,71.9167,114.0833,256.78,100,96,2.03,RU,1682286260
56,leningradskiy,69.3833,178.4167,257.3,88,28,7.13,RU,1682286228
57,namatanai,-3.6667,152.4333,300.72,77,86,2.18,PG,1682286215
58,tasiilaq,65.6145,-37.6368,275.24,91,100,2.68,GL,1682286202
59,qaanaaq,77.484,-69.3632,261.72,92,94,0.57,GL,1682286216
60,alofi,-19.0595,-169.9187,300.09,69,3,6.17,NU,1682286243
61,keti bandar,24.1447,67.4497,299.4,76,56,6.33,PK,1682286291
62,port alfred,-33.5906,26.891,293.94,66,97,3.51,ZA,1682286224
63,waipawa,-41.4122,175.5153,282.38,70,100,8.96,NZ,1682286294
64,mandalgovi,45.7625,106.2708,278.79,20,100,6.51,MN,1682286295
65,marsaxlokk,35.8419,14.5431,290.97,77,0,2.06,MT,1682286296
66,ukiah,39.1502,-123.2078,298.95,52,0,3.6,US,1682286297
67,adrar,20.5022,-10.0711,299.71,20,0,4.65,MR,1682286298
68,arraial do cabo,-22.9661,-42.0278,296.07,73,0,1.54,BR,1682286242
69,vanavara,60.34,102.2797,265.31,91,99,1.62,RU,1682286300
70,mar del plata,-38.0023,-57.5575,290.16,90,20,2.57,AR,1682286145
